Enchanting,Item ID,Item Level,Item Name,Required Level,Usage
200.0,10233.0,57.0,紋刻束腰,52.0,腰部
175.0,14961.0,55.0,牛頭人酋長之冠,50.0,頭部
175.0,15694.0,54.0,殘忍護脛,49.0,腳
275.0,24795.0,117.0,遠征隊束褲,69.0,腿部
225.0,25078.0,99.0,贊格里盾牌,63.0,盾牌
350.0,36384.0,174.0,魔像腿鎧,78.0,腿部
475.0,62049.0,359.0,暗月卡:颶風,85.0,飾品
475.0,62049.0,359.0,暗月卡:颶風,85.0,飾品
200.0,14677.0,58.0,豪族束褲,53.0,腿部
225.0,24831.0,90.0,奈薩斯行者護脛,60.0,腳
300.0,21863.0,100.0,靈魂布手套,70.0,手
100.0,3845.0,40.0,金鱗背心甲,35.0,胸部
75.0,4055.0,34.0,徽記長靴,29.0,腳
275.0,31280.0,106.0,喚雷者護手,67.0,手
350.0,36352.0,158.0,蟄猛腿鎧,74.0,腿部
350.0,36453.0,162.0,雕花黃銅盾,75.0,盾牌
475.0,94051.0,429.0,毀棄的沼澤潛獵者腕帶,90.0,手腕
325.0,38592.0,175.0,黑暗寒地護軀,77.0,胸部
325.0,44742.0,183.0,機械雪鏡,,頭部
375.0,47257.0,245.0,狂野捕獵者披風,80.0,背部
375.0,47257.0,245.0,狂野捕獵者披風,80.0,背部
275.0,31940.0,115.0,以太皇族頸環,70.0,頸部
225.0,14328.0,65.0,永恆護胸,60.0,胸部
125.0,1980.0,43.0,幽界指環,38.0,手指
75.0,2278.0,31.0,森林追蹤者肩冑,26.0,肩部
25.0,2911.0,23.0,凱勒的束腰,18.0,腰部
75.0,7787.0,31.0,璀璨守護者,26.0,盾牌
100.0,9420.0,40.0,冒險者木盔,35.0,頭部
25.0,12977.0,20.0,法師之拳,15.0,手
75.0,13127.0,32.0,霜掠之冠,27.0,頭部
425.0,55624.0,278.0,怒水腰帶,78.0,腰部
450.0,75128.0,377.0,兇惡華麗黃鐵胸甲,85.0,胸部
200.0,15673.0,58.0,莊嚴腰帶,53.0,腰部
200.0,15673.0,58.0,莊嚴腰帶,53.0,腰部
,49570.0,1.0,吉爾尼斯陷捕者外套,,胸部
475.0,102348.0,429.0,古舊影牙面甲,90.0,頭部
450.0,67112.0,308.0,布列塔尼儀祭肩甲,82.0,肩部
450.0,67112.0,308.0,布列塔尼儀祭肩甲,82.0,肩部
,49569.0,1.0,吉爾尼斯陷捕者長靴,,腳
,49571.0,1.0,吉爾尼斯陷捕者手套,1.0,手
,1840.0,10.0,劣質皮護腕,5.0,手腕
175.0,15621.0,51.0,獅鷲獸鎖甲圓盾,46.0,盾牌
125.0,7544.0,44.0,勇士斗篷,39.0,背部
,10036.0,1.0,禮服夾克,,胸部
225.0,10269.0,62.0,精工束腰,57.0,腰部
75.0,14212.0,35.0,活力護肩,30.0,肩部
75.0,14212.0,35.0,活力護肩,30.0,肩部
75.0,14397.0,32.0,彈力披肩,27.0,肩部
,15299.0,10.0,灰白斗篷,5.0,背部
150.0,18712.0,50.0,競技場護臂,45.0,手腕
425.0,55035.0,316.0,風暴冶煉腰帶,81.0,腰部
425.0,55536.0,289.0,厄爐腿鎧,80.0,腿部
425.0,55580.0,283.0,日落護脛,79.0,腳
425.0,55616.0,283.0,日落肩甲,79.0,肩部
425.0,55617.0,289.0,棘痕肩甲,80.0,肩部
425.0,55734.0,289.0,達隆米爾裹手,80.0,手
475.0,59461.0,359.0,安格弗之怒,85.0,飾品
575.0,85788.0,496.0,報應護胸,90.0,胸部
550.0,93467.0,458.0,精製驚懼鬥士科多獸皮頭盔,90.0,頭部
,2151.0,27.0,拋光鱗甲手套,22.0,手
200.0,8310.0,60.0,英雄肩鎧,55.0,肩部
75.0,12029.0,35.0,綠石咒符,30.0,頸部
325.0,36069.0,130.0,匕鞘上衣,67.0,胸部
350.0,36402.0,182.0,亡域護臂,80.0,手腕
325.0,43245.0,138.0,清透玉髓護符,70.0,頸部
125.0,8187.0,41.0,龜殼手套,36.0,手
175.0,15071.0,55.0,霜刃長靴,50.0,腳
325.0,36463.0,146.0,拋光寶珠,71.0,副手物品
,236.0,22.0,硬皮甲,17.0,胸部
,237.0,22.0,硬皮束褲,17.0,腿部
550.0,87463.0,425.0,『非常男人』護腿,82.0,腿部
125.0,10023.0,45.0,影紋手套,40.0,手
25.0,7558.0,25.0,幻光護杖,20.0,副手物品
125.0,10008.0,43.0,白色強盜面罩,38.0,頭部
125.0,10008.0,43.0,白色強盜面罩,38.0,頭部
175.0,15637.0,51.0,敬畏腿甲,46.0,腿部
275.0,24653.0,108.0,聯合團束帶,66.0,腰部
275.0,24889.0,111.0,司凱堤斯護手,67.0,手
275.0,25098.0,117.0,圖格克火炬,69.0,副手物品
275.0,25098.0,117.0,圖格克火炬,69.0,副手物品
350.0,36232.0,154.0,陷捕者護腿,73.0,腿部
350.0,36414.0,174.0,長毛象毛皮披風,78.0,背部
375.0,45562.0,226.0,生命之鱗長靴,80.0,腳
375.0,50447.0,264.0,先驅者的骸骨指環,80.0,手指
425.0,55491.0,289.0,厄爐護臂,80.0,手腕
1.0,14724.0,16.0,戰痕披風,11.0,背部
350.0,36357.0,162.0,霜掌護甲,75.0,胸部
25.0,4317.0,25.0,鳳凰束褲,20.0,腿部
225.0,31131.0,85.0,沉默之刃束帶,60.0,腰部
225.0,31187.0,97.0,探路者之靴,64.0,腳
150.0,15639.0,50.0,鐵皮護腕,45.0,手腕
350.0,36120.0,154.0,坦卡腿甲,73.0,腿部
,57.0,1.0,侍僧長袍,1.0,胸部（長袍）
200.0,14457.0,58.0,月語腕輪,53.0,手腕
150.0,7546.0,46.0,勇士束腰,41.0,腰部
150.0,9947.0,48.0,酋長腰帶,43.0,腰部
175.0,9950.0,53.0,酋長胸甲,48.0,胸部
200.0,14458.0,60.0,月語長靴,55.0,腳
225.0,24617.0,93.0,復仇者軟帽,61.0,頭部
275.0,24755.0,102.0,匕首沼地肩鎧,64.0,肩部
225.0,24922.0,81.0,厲鱗頭盔,57.0,頭部
1.0,2312.0,15.0,優質皮手套,10.0,手
325.0,38436.0,150.0,霜鱗護腕,74.0,手腕
475.0,94059.0,429.0,流放涉獵者繫腰,90.0,腰部
,3889.0,37.0,赤色的帽子,32.0,頭部
1.0,6337.0,12.0,步兵護腿,7.0,腿部
275.0,31155.0,109.0,龍鱗胸甲,68.0,胸部
475.0,69797.0,353.0,縛咒之握,85.0,手
475.0,82067.0,377.0,磚瓦胸甲,84.0,胸部
475.0,85851.0,393.0,霧皮披氅,85.0,背部
175.0,14107.0,55.0,惡魔布束褲,50.0,腿部
100.0,15160.0,39.0,夜間腕環,34.0,手腕
350.0,36231.0,154.0,陷捕者頭盔,73.0,頭部
,7339.0,40.0,小鑽石戒指,,手指
175.0,15659.0,55.0,深奧束腕,50.0,手腕
300.0,31326.0,100.0,強擊指環,70.0,手指
325.0,36108.0,150.0,鄙掠長靴,72.0,腳
275.0,21868.0,115.0,奧紋長袍,70.0,胸部（長袍）
100.0,12010.0,37.0,池沼戒指,32.0,手指
225.0,25655.0,93.0,魔鱗長靴,61.0,腳
,6137.0,1.0,刺客束褲,1.0,腿部
,2396.0,10.0,輕型鎖甲護腕,5.0,手腕
100.0,4074.0,36.0,軍用鎖甲,31.0,胸部
75.0,4076.0,35.0,軍用鎖甲長靴,30.0,腳
1.0,4312.0,16.0,軟底亞麻靴,11.0,腳
100.0,7435.0,38.0,暮光披肩,33.0,肩部
125.0,7470.0,42.0,華貴巫師帽,37.0,頭部
125.0,7471.0,42.0,華貴手套,37.0,手
150.0,7523.0,46.0,薄紗肩墊,41.0,肩部
150.0,8116.0,47.0,紋章腰帶,42.0,腰部
150.0,8121.0,47.0,紋章手套,42.0,手
175.0,8263.0,53.0,蛇皮肩甲,48.0,肩部
150.0,8277.0,46.0,悍勇束腰,41.0,腰部
150.0,8277.0,46.0,悍勇束腰,41.0,腰部
200.0,8307.0,60.0,英雄的靴子,55.0,腳
125.0,9291.0,43.0,野戰鎧甲護腿,40.0,腿部
50.0,9773.0,27.0,綠紋長袍,22.0,胸部（長袍）
125.0,9897.0,42.0,狂戰士護胸,37.0,胸部
150.0,9952.0,49.0,酋長手套,44.0,手
150.0,9952.0,49.0,酋長手套,44.0,手
125.0,9966.0,45.0,雕花鎧甲護甲,40.0,胸部
125.0,9970.0,44.0,雕花鎧甲護腿,40.0,腿部
200.0,10136.0,60.0,高等參事護腕,55.0,手腕
200.0,10145.0,59.0,強大束腰,54.0,腰部
225.0,10160.0,62.0,水銀頭環,57.0,頭部
200.0,10225.0,59.0,噩夢手套,54.0,手
175.0,10245.0,53.0,重型綴甲肩鎧,48.0,肩部
225.0,10251.0,63.0,大師手套,58.0,手
225.0,10254.0,65.0,大師長袍,60.0,胸部（長袍）
225.0,10268.0,63.0,精工護手,58.0,手
225.0,10268.0,63.0,精工護手,58.0,手
200.0,10276.0,56.0,翡翠脛甲,51.0,腳
175.0,10278.0,55.0,翡翠束腰,50.0,腰部
225.0,10379.0,61.0,指揮官頭盔,56.0,頭部
175.0,12415.0,54.0,輻光胸甲,49.0,胸部
175.0,13067.0,54.0,海蛇護甲,49.0,胸部
225.0,13123.0,62.0,夢行者護甲,57.0,胸部
25.0,14162.0,23.0,異教徒長手套,18.0,手
50.0,14191.0,30.0,喚雨者長手套,25.0,手
125.0,14253.0,43.0,新月裹手,38.0,手
175.0,14281.0,53.0,豐饒之冠,48.0,頭部
225.0,14680.0,64.0,不撓外衣,59.0,胸部
125.0,14775.0,43.0,劫毀者毛褲,38.0,腿部
150.0,14779.0,49.0,可汗護軀,44.0,胸部
100.0,15151.0,36.0,鬼行者腿甲,31.0,腿部
125.0,15596.0,41.0,堅定腿鎧,36.0,腿部
225.0,15660.0,61.0,深奧胸甲,56.0,胸部
225.0,15660.0,61.0,深奧胸甲,56.0,胸部
200.0,15672.0,60.0,莊嚴護手,55.0,手
225.0,15679.0,61.0,勝利護腕,56.0,手腕
225.0,15684.0,64.0,勝利顱帽,59.0,頭部
225.0,15684.0,64.0,勝利顱帽,59.0,頭部
50.0,15947.0,28.0,血紅之星,23.0,副手物品
200.0,16697.0,57.0,虔誠護腕,52.0,手腕
275.0,24253.0,112.0,永恆披風,69.0,背部
225.0,24628.0,96.0,弄奴腕甲,62.0,手腕
225.0,24636.0,99.0,菲拉芬腕輪,63.0,手腕
225.0,24812.0,81.0,不屈肩甲,57.0,肩部
275.0,24984.0,105.0,石拳護甲,65.0,胸部
225.0,25073.0,84.0,帝王之盾,58.0,盾牌
350.0,36040.0,170.0,兀鷹束褲,77.0,腿部
350.0,36047.0,174.0,晶歌之冠,78.0,頭部
350.0,36049.0,174.0,晶歌披肩,78.0,肩部
325.0,36210.0,142.0,尼弗瓦束腕,70.0,手腕
350.0,36385.0,174.0,魔像肩鎧,78.0,肩部
350.0,36385.0,174.0,魔像肩鎧,78.0,肩部
,42371.0,1.0,琥珀鑲鈿襯衣,,襯衣
325.0,44674.0,167.0,腐液玷污裹帶,72.0,手腕
,44692.0,1.0,達拉然護士袍,,胸部（長袍）
425.0,55731.0,272.0,亞米薩蘭裹手,77.0,手
475.0,60202.0,359.0,滄加的頭盔,85.0,頭部
