Corr,Fraction,Item,Realm
0.8230061088294708,alliance,奈薩斯行者護脛,tichondrius
-0.8079376491779202,alliance,晶化法力裂片,tichondrius
0.8394156193476919,horde,雕花黃銅盾,tichondrius
0.8922811001764284,horde,鐵木雙手錘,tichondrius
0.8159701077567868,horde,毀棄的沼澤潛獵者腕帶,tichondrius
0.8009190835339857,horde,公式:次級法力之油,tichondrius
0.8049635184161534,horde,機械雪鏡,tichondrius
0.9322632118306364,horde,狂野捕獵者披風,tichondrius
0.8221221785499312,horde,脆嫩多汁胡蘿蔔種子,tichondrius
0.8025380789371337,horde,以太皇族頸環,tichondrius
-0.801005890463793,horde,永恆護胸,tichondrius
0.9983989252964174,alliance,執行者黑斧,darkspear
0.884152117200998,alliance,綠色絲甲,darkspear
0.8009900868592134,alliance,莊嚴腰帶,darkspear
0.8627335880626812,alliance,紅色小龍鷹,darkspear
0.9974906531371704,alliance,鄙掠手套,darkspear
0.8965400675850546,alliance,龍殿披氅,darkspear
0.8419533852571127,alliance,水銀墜飾,darkspear
0.8216838544215675,alliance,岩龍鱗片護手,darkspear
0.9977498337530571,alliance,泰坦鋼腦部機械,darkspear
0.8171171237998469,alliance,黑鐵麥芽酒杯,darkspear
0.8134853222191812,alliance,華貴披風,darkspear
0.8505933149565554,horde,月莓汁,darkspear
0.809580681746197,horde,厚絨線繃帶,darkspear
0.9095112477108459,horde,月語絲袍,darkspear
0.8630996566733109,horde,完美純淨的盜賊石,darkspear
0.9348052921027068,horde,邪惡小南瓜,darkspear
0.932104786673494,horde,綠色小包,darkspear
0.8718878588444006,horde,青銅戰鬥斧,darkspear
0.8437501738198332,horde,惡魔衛士,darkspear
0.8131612827959487,horde,附魔法杖 - 強效法術能量,darkspear
0.9165092204113268,horde,爪衛束腰,darkspear
0.8189132323960884,horde,越天之刃,darkspear
0.8566147735378989,horde,水光披風,darkspear
-0.8042418966708144,alliance,失心套卡之四,frostmourne
-0.8155698702733785,alliance,銳利尖牙,frostmourne
0.8102178091064905,horde,縫衣針,frostmourne
0.8379284721095418,horde,月語腰帶,frostmourne
0.8043935508345083,horde,結構圖:仿真機械蟾蜍,frostmourne
0.8245430551907961,horde,裂蹄護腕,frostmourne
0.8213879959560483,horde,雄鹿皮護軀,frostmourne
0.8375913453796678,horde,雄鹿皮內襯手套,frostmourne
0.8460681684023394,horde,群刺法杖,frostmourne
0.8630361105291476,horde,兇惡魔杖,frostmourne
0.8028205220215023,horde,防護鼓脹鎧甲,frostmourne
0.8064123967822555,horde,鬼鑄胸甲,frostmourne
0.8412806860286841,horde,霧皮腰帶,frostmourne
0.8634911537000748,horde,霧皮手套,frostmourne
0.8491107532429605,horde,霧皮頭盔,frostmourne
0.8021536870425607,horde,霧皮護腿,frostmourne
0.8739234730359577,horde,強大外套,frostmourne
0.8332230778134648,horde,結構圖:法力藥水注射器,frostmourne
0.8149872319942886,horde,星心短棒,frostmourne
0.8538602551816519,horde,黑羽脛甲,frostmourne
0.8204397668767833,horde,新月頭冠,frostmourne
0.8703511230529963,horde,尖頭法杖,frostmourne
-0.8350381924402097,horde,餘燼之五,frostmourne
0.8396563813792164,horde,流風之三,frostmourne
0.8191958271979505,horde,永恆長靴,frostmourne
0.8262195036371798,horde,圖樣:眼鏡蛇鱗手套,frostmourne
0.8235394352136187,horde,新星頭環,frostmourne
0.8066145053580934,horde,尊貴肩冑,frostmourne
0.8188272045226342,horde,莊嚴盾牌,frostmourne
0.8349323505737064,horde,勝利顱帽,frostmourne
0.8035585885127378,horde,可汗束腕,frostmourne
0.825134744978437,horde,自由行動藥水,frostmourne
0.813574259716317,horde,看守者護腿,frostmourne
0.8318119680924555,alliance,輕型鎖甲護腕,sargeras
0.8216602133904365,alliance,紋章手套,sargeras
0.8154575279225215,alliance,輻光胸甲,sargeras
0.8119465716632942,alliance,新月裹手,sargeras
0.8249143764793365,alliance,祝福戰錘,sargeras
-0.8106670306280256,alliance,河歌之錘,sargeras
-0.8461007070565911,alliance,月尾鯨,sargeras
0.8173827465161502,alliance,魔像肩鎧,sargeras
-0.8276883076942441,alliance,輻光的森之翡翠,sargeras
-0.8492398501836291,alliance,永恆的大地圍城鑽石,sargeras
-0.8051238171061492,alliance,腐液玷污裹帶,sargeras
0.8627209274086611,alliance,靈機的碧玉,sargeras
-0.8082640095016791,alliance,漩渦水晶,sargeras
0.8007057913792641,alliance,圖騰之怒鍊衫,sargeras
-0.8375645756335708,alliance,耐久斗篷,sargeras
0.8187973874646861,alliance,寶石戒指,bleeding-hollow
0.8368389238877081,alliance,設計圖:特硬克銀頸飾,bleeding-hollow
