Fraction,Profit,Realm,Week Num
alliance,12424551.093941715,tichondrius,11.0
alliance,15398757.389101632,tichondrius,12.0
alliance,12569706.425250048,tichondrius,13.0
alliance,9946454.296258347,tichondrius,14.0
alliance,11467488.503879568,tichondrius,15.0
alliance,11694570.131686226,tichondrius,16.0
alliance,11616211.810676899,tichondrius,17.0
alliance,9796169.23406905,tichondrius,18.0
alliance,11047913.068875518,tichondrius,19.0
alliance,10577731.661716688,tichondrius,20.0
alliance,11905347.020065246,tichondrius,21.0
alliance,12270929.60823905,tichondrius,22.0
alliance,11856667.786738856,tichondrius,23.0
alliance,12229239.282201443,tichondrius,24.0
alliance,12625971.116621673,tichondrius,25.0
alliance,11312806.216477184,tichondrius,26.0
alliance,11232122.947414344,tichondrius,27.0
alliance,12070562.084315987,tichondrius,28.0
alliance,11642668.4398105,tichondrius,29.0
alliance,12163932.728793824,tichondrius,30.0
alliance,11309698.460154032,tichondrius,31.0
alliance,11447661.819341647,tichondrius,32.0
alliance,10516311.736523127,tichondrius,33.0
alliance,11969827.54007003,tichondrius,34.0
alliance,12993232.284766715,tichondrius,35.0
alliance,12741171.905278593,tichondrius,36.0
alliance,13375852.6726265,tichondrius,37.0
alliance,13772686.843027443,tichondrius,38.0
alliance,12403928.0491819,tichondrius,39.0
alliance,11870040.580260012,tichondrius,40.0
alliance,14251595.699349865,tichondrius,41.0
alliance,684209.7384166665,illidan,11.0
alliance,409022.33597071416,illidan,12.0
alliance,426160.91619380936,illidan,13.0
alliance,385902.93265999964,illidan,14.0
alliance,407983.9090385713,illidan,15.0
alliance,1119781.304339283,illidan,16.0
alliance,1126129.9234040468,illidan,17.0
alliance,1491517.654415952,illidan,18.0
alliance,1324907.2253499993,illidan,19.0
alliance,632514.3025900004,illidan,20.0
alliance,593078.4274535706,illidan,21.0
alliance,416652.6263300002,illidan,22.0
alliance,713557.6025849996,illidan,23.0
alliance,496136.29585809493,illidan,24.0
alliance,486587.7047211904,illidan,25.0
alliance,817966.7280445234,illidan,26.0
alliance,788107.9777947619,illidan,27.0
alliance,716413.3514840476,illidan,28.0
alliance,561127.2788976185,illidan,29.0
alliance,717706.4051883336,illidan,30.0
alliance,1274628.5921497613,illidan,31.0
alliance,775798.2816738094,illidan,32.0
alliance,551644.961565,illidan,33.0
alliance,562393.7299792857,illidan,34.0
alliance,637701.8887611894,illidan,35.0
alliance,559850.0840145238,illidan,36.0
alliance,580924.334319047,illidan,37.0
alliance,677658.0221433332,illidan,38.0
alliance,1578318.9170578567,illidan,39.0
alliance,1600068.28134881,illidan,40.0
alliance,520745.3929614286,illidan,41.0
alliance,3948787.962799994,area-52,11.0
alliance,4035934.3653307133,area-52,12.0
alliance,2930791.62198881,area-52,13.0
alliance,3060860.8412666707,area-52,14.0
alliance,3491081.870417865,area-52,15.0
alliance,2378488.457991192,area-52,16.0
alliance,2763183.97321833,area-52,17.0
alliance,2285752.4853197644,area-52,18.0
alliance,2686829.1760166697,area-52,19.0
alliance,3543747.810880005,area-52,20.0
alliance,6235025.895865959,area-52,21.0
alliance,5057435.022566673,area-52,22.0
alliance,2908154.8774611973,area-52,23.0
alliance,993740389.9321554,area-52,24.0
alliance,3142404.759481188,area-52,25.0
alliance,2307735.769752146,area-52,26.0
alliance,3106591.6606485792,area-52,27.0
alliance,3277732.869427621,area-52,28.0
alliance,4356475.52599405,area-52,29.0
alliance,3478497.3863083366,area-52,30.0
alliance,3209724.3415166712,area-52,31.0
alliance,4719353.344863105,area-52,32.0
alliance,2532241.795998575,area-52,33.0
alliance,3826786.6230533444,area-52,34.0
alliance,3173375.5289945253,area-52,35.0
alliance,3256405.621335716,area-52,36.0
alliance,2854133.982547621,area-52,37.0
alliance,2420670.255833575,area-52,38.0
alliance,2935677.8106976207,area-52,39.0
alliance,2406355.2279185695,area-52,40.0
alliance,3353484.0329035763,area-52,41.0
alliance,29286851.585883223,stormrage,11.0
alliance,28708861.572996613,stormrage,12.0
alliance,30840680.80898738,stormrage,13.0
alliance,27409754.72065819,stormrage,14.0
alliance,27427927.427103277,stormrage,15.0
alliance,30117493.860586524,stormrage,16.0
alliance,48464590.08005277,stormrage,17.0
alliance,33030338.611619066,stormrage,18.0
alliance,34651611.27469518,stormrage,19.0
alliance,32067548.183404814,stormrage,20.0
alliance,38833622.99875146,stormrage,21.0
alliance,38550132.78648462,stormrage,22.0
alliance,30406406.96092737,stormrage,23.0
alliance,29633117.963130645,stormrage,24.0
alliance,27164876.844946098,stormrage,25.0
alliance,28618123.568250652,stormrage,26.0
alliance,33072059.95948092,stormrage,27.0
alliance,30065972.39337432,stormrage,28.0
alliance,30876665.63339064,stormrage,29.0
alliance,30773962.543545015,stormrage,30.0
alliance,26368687.85487151,stormrage,31.0
alliance,25946789.60345333,stormrage,32.0
alliance,29092705.43123688,stormrage,33.0
alliance,29569759.2856899,stormrage,34.0
alliance,25988539.876418896,stormrage,35.0
alliance,27880473.062293228,stormrage,36.0
alliance,28188547.997042615,stormrage,37.0
alliance,26991660.875470113,stormrage,38.0
alliance,30697448.98324093,stormrage,39.0
alliance,27858196.765043784,stormrage,40.0
alliance,30390141.74918221,stormrage,41.0
alliance,28502683.586216584,darkspear,11.0
alliance,30000012.54455156,darkspear,12.0
alliance,30435760.05933527,darkspear,13.0
alliance,28605084.700405024,darkspear,14.0
alliance,30494105.743631527,darkspear,15.0
alliance,28836725.579149053,darkspear,16.0
alliance,30573414.0349563,darkspear,17.0
alliance,28021481.67078872,darkspear,18.0
alliance,32716449.443742435,darkspear,19.0
alliance,31827692.436491594,darkspear,20.0
alliance,26826719.986419436,darkspear,21.0
alliance,32318323.662301637,darkspear,22.0
alliance,31937803.494014464,darkspear,23.0
alliance,25823398.15249654,darkspear,24.0
alliance,206044206.65347123,darkspear,25.0
alliance,29308104.88365087,darkspear,26.0
alliance,30483828.58547541,darkspear,27.0
alliance,25346672.305400077,darkspear,28.0
alliance,33067020.813986685,darkspear,29.0
alliance,35279454.1420986,darkspear,30.0
alliance,35833471.22155276,darkspear,31.0
alliance,34794695.33656009,darkspear,32.0
alliance,35783041.95327985,darkspear,33.0
alliance,32853129.08111738,darkspear,34.0
alliance,30949287.118633926,darkspear,35.0
alliance,37163120.51388638,darkspear,36.0
alliance,32859083.689202484,darkspear,37.0
alliance,29255976.001003664,darkspear,38.0
alliance,33143013.38269568,darkspear,39.0
alliance,32816731.365852024,darkspear,40.0
alliance,31840516.482494295,darkspear,41.0
alliance,18606715.037241675,frostmourne,11.0
alliance,22624255.907235123,frostmourne,12.0
alliance,20878114.53092973,frostmourne,13.0
alliance,18993109.056996617,frostmourne,14.0
alliance,20689320.1220374,frostmourne,15.0
alliance,21584970.913934972,frostmourne,16.0
alliance,22964888.524058685,frostmourne,17.0
alliance,20537305.75623828,frostmourne,18.0
alliance,20826255.677592423,frostmourne,19.0
alliance,20571429.13760004,frostmourne,20.0
alliance,16817070.344964962,frostmourne,21.0
alliance,15866479.673083354,frostmourne,22.0
alliance,19684783.031761404,frostmourne,23.0
alliance,22265815.748398267,frostmourne,24.0
alliance,20335963.79342859,frostmourne,25.0
alliance,21745067.90798593,frostmourne,26.0
alliance,20696658.160411373,frostmourne,27.0
alliance,18389866.322100017,frostmourne,28.0
alliance,21669869.932488322,frostmourne,29.0
alliance,21629078.72434335,frostmourne,30.0
alliance,18233971.87231505,frostmourne,31.0
alliance,22351723.845922884,frostmourne,32.0
alliance,23741366.98062334,frostmourne,33.0
alliance,21998848.145973295,frostmourne,34.0
alliance,21688294.284894988,frostmourne,35.0
alliance,22223591.474150747,frostmourne,36.0
alliance,24721013.35746836,frostmourne,37.0
alliance,22642723.82435163,frostmourne,38.0
alliance,22359451.097810477,frostmourne,39.0
